2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 00:39:24.565 +06:00 [INF] Worker running at: "2021-09-28T00:39:24.5653300+06:00"
2021-09-28 00:39:44.803 +06:00 [INF] Deleted 
2021-09-28 00:39:44.804 +06:00 [INF] Worker running at: "2021-09-28T00:39:44.8040020+06:00"
2021-09-28 00:40:04.808 +06:00 [INF] no file to delete
2021-09-28 00:40:04.809 +06:00 [INF] Worker running at: "2021-09-28T00:40:04.8089988+06:00"
2021-09-28 00:40:24.822 +06:00 [INF] no file to delete
2021-09-28 00:40:24.824 +06:00 [INF] Worker running at: "2021-09-28T00:40:24.8248006+06:00"
2021-09-28 00:40:44.842 +06:00 [INF] no file to delete
2021-09-28 00:40:44.842 +06:00 [INF] Worker running at: "2021-09-28T00:40:44.8426404+06:00"
2021-09-28 00:41:04.851 +06:00 [INF] no file to delete
2021-09-28 00:41:04.851 +06:00 [INF] Worker running at: "2021-09-28T00:41:04.8518747+06:00"
2021-09-28 00:41:24.868 +06:00 [INF] no file to delete
2021-09-28 00:41:24.868 +06:00 [INF] Worker running at: "2021-09-28T00:41:24.8687276+06:00"
2021-09-28 00:41:44.914 +06:00 [INF] no file to delete
2021-09-28 00:41:44.914 +06:00 [INF] Worker running at: "2021-09-28T00:41:44.9149631+06:00"
2021-09-28 00:42:04.920 +06:00 [INF] no file to delete
2021-09-28 00:42:04.920 +06:00 [INF] Worker running at: "2021-09-28T00:42:04.9209621+06:00"
2021-09-28 00:42:24.936 +06:00 [INF] no file to delete
2021-09-28 00:42:24.936 +06:00 [INF] Worker running at: "2021-09-28T00:42:24.9365076+06:00"
2021-09-28 00:42:44.950 +06:00 [INF] no file to delete
2021-09-28 00:42:44.950 +06:00 [INF] Worker running at: "2021-09-28T00:42:44.9507093+06:00"
2021-09-28 00:43:05.034 +06:00 [INF] Deleted 
2021-09-28 00:43:05.034 +06:00 [INF] Worker running at: "2021-09-28T00:43:05.0342809+06:00"
2021-09-28 00:43:25.062 +06:00 [INF] no file to delete
2021-09-28 00:43:25.063 +06:00 [INF] Worker running at: "2021-09-28T00:43:25.0638237+06:00"
2021-09-28 00:43:45.078 +06:00 [INF] no file to delete
2021-09-28 00:43:45.078 +06:00 [INF] Worker running at: "2021-09-28T00:43:45.0782837+06:00"
2021-09-28 00:44:05.081 +06:00 [INF] no file to delete
2021-09-28 00:44:05.081 +06:00 [INF] Worker running at: "2021-09-28T00:44:05.0811331+06:00"
2021-09-28 00:44:25.110 +06:00 [INF] no file to delete
2021-09-28 00:44:25.110 +06:00 [INF] Worker running at: "2021-09-28T00:44:25.1107561+06:00"
2021-09-28 00:44:45.120 +06:00 [INF] no file to delete
